I                         i_b00                     i_b10                     i_b20                     i_b30                     i_b45                     
1                         0                         0                         0                         0                         0                         
1                         0                         0                         0                         0                         0                         
2                         1.077962248366066         9.925120674270108         19.90122648750727         30.14815919498886         44.88699717177554         
3                         2.030520373156129         9.943454549271541         19.84738021030834         30.07244985492494         44.79032722294454         
4                         2.99305414924078          10.05446841307997         19.83878034658752         30.02486713186595         44.7099950953714          
5                         3.958292906913239         10.25515259373475         19.8754857007469          30.00554587475568         44.64609305345648         
6                         4.924646336497277         10.54038599692893         19.95724594371137         30.01454108669078         44.59869495736967         
7                         5.89156595653706          10.90353460315319         20.08351004993428         30.051827151626           44.5678558604474          
8                         6.858812314826016         11.33711271890915         20.2534445084113          30.11729819515994         44.55361170657696         
9                         7.826264275668573         11.83338018876115         20.46595993372922         30.21076956759185         44.55597913148603         
10                        8.793853996961932         12.3848021286253          20.71974416508766         30.33198040104617         44.57495537053229         
11                        9.761540535682659         12.98435222377412         21.01329964044075         30.48059715886212         44.61051827420276         
12                        10.72929772475237         13.62567743094565         21.34498278074296         30.65621806649203         44.66262643111994         
13                        11.69710806405545         14.30315802679028         21.71304328670691         30.85837829028954         44.73121939694333         
14                        12.66495941100978         15.01189820588417         22.11566158032192         31.08655571472401         44.81621802618427         
15                        13.63284308029488         15.74767628093581         22.55098304632065         31.34017716010573         44.91752490265162         
16                        14.60075269918562         16.50687537364017         23.01714817810663         31.61862488167167         45.03502486304296         
17                        15.56868348980035         17.28640812011065         23.51231815467348         31.92124319622894         45.16858560711846         
18                        16.53663180340999         18.08364332109102         24.03469573397204         32.24734509347203         45.31805838696169         
19                        17.50459480927057         18.89633864968198         24.58254162621315         32.59621870434632         45.48327876706114         
20                        18.47257028131562         19.72258112799664         25.15418670480458         32.96713351708208         45.66406744634761         
21                        19.44055644860579         20.56073568401218         25.74804053041069         33.35934625145163         45.86023113290324         
22                        20.40855188837193         21.40940135361799         26.36259671817677         33.7721063221931          46.0715634618152          
23                        21.37655544815012         22.26737434790773         26.99643568471712         34.20466084237844         46.29784594657927         
24                        22.34456618818738         23.13361709306014         27.64822528472219         34.65625913596696         46.5388489545531          
25                        23.31258333822431         24.00723236291265         28.31671979967559         35.12615674530835         46.79433269720536         
26                        24.28060626464226         24.88744169822128         29.00075768320599         35.61361893358109         47.06404822628675         
27                        25.24863444519121         25.77356740461291         29.6992584063751          36.11792369391977         47.34773842754583         
28                        26.21666744933819         26.66501752321263         30.41121868668492         36.63836428629264         47.64513900420357         
29                        27.18470492283315         27.56127326372549         31.13570832981382         37.17425133017094         47.95597944306878         
30                        28.1527465754758          28.46187847496702         31.87186586465431         37.72491448588943         48.27998395689878         
31                        29.1207921713369          29.36643080120847         32.61889411069182         38.28970376059871         48.61687239736636         
32                        30.0888415208795          30.2745742345984          33.37605578204199         38.86799047614199         48.96636113376868         
33                        31.05689447456417         31.18599282544276         34.14266920405004         39.45916793633952         49.32816389338728         
34                        32.02495091762218         32.10040535464613         34.91810419554939         40.06265183031095         49.70199256016657         
35                        32.99301076575568         33.0175608075159          35.70177815189874         40.6778804068576          50.08755792910972         
36                        33.96107396157764         33.93723451668535         36.49315234999068         41.30431445278641         50.48457041448252         
37                        34.92914047164714         34.85922486523263         37.29172848583987         41.94143710556852         50.8927407105629          
38                        35.89721028398556         35.78335046011338         38.09704544747281         42.58875352804517         51.31178040426636         
39                        36.86528340598396         36.70944770157372         38.90867632010967         43.24579047014083         51.74140253951501         
40                        37.83335986262994         37.63736868692353         39.72622561658803         43.9120957398172          52.18132213369575         
41                        38.80143969499681         38.56697939745688         40.54932672325045         44.58723760286519         52.6312566469716          
42                        39.7695229589489          39.49815812584377         41.37763954979146         45.27080412864115         53.09092640556963         
43                        40.73760972402553         40.43079410833394         42.21084837059074         45.96240249653506         53.56005498047127         
44                        41.70570007247314         41.36478633189491         43.04865984464625         46.66165827583282         54.03836952317968         
45                        42.67379409840098         42.30004249118001         43.89080120121872         47.36821468971018         54.52560106043546         
46                        43.64189190703946         43.2364780741749          44.73701857857928         48.08173187237001         55.02148474990302         
47                        44.60999361408454         44.17401555865316         45.58707550373175         48.80188612680422         55.5257600989576          
48                        45.57809934511373         45.1125837043013          46.44075150158564         49.52836918931419         56.03817114877205         
49                        46.54620923506243         46.05211692765338         47.29784082273746         50.26088750574793         56.55846662593896         
50                        47.51432342775055         46.99255474888205         48.1581512797348          50.99916152339428         57.08640006386904         
51                        48.4824420754511          47.93384130109253         49.02150318242627         51.74292500159897         57.62172989618792         
52                        49.45056533849413         48.87592489411175         49.88772836371652         52.49192434342023         58.16421952431284         
53                        50.41869338489982         49.81875762589992         50.75666928774044         53.24591795000895         58.71363736133266         
54                        51.38682639003608         50.76229503567072         51.62817823313105         54.00467559886571         59.26975685424203         
55                        52.35496453629627         51.70649579362036         52.50211654467984         54.76797784668303         59.83235648649657         
56                        53.32310801279345         52.65132142285613         53.37835394727094         55.53561545711428         60.40121976276468         
57                        54.29125701506828         53.59673604970396         54.25676791651139         56.30738885350872         60.97613517765196         
58                        55.25941174480772         54.54270617907749         55.13724310097965         57.08310759640969         61.55689617007405         
59                        56.22757240957261         55.48920049202039         56.01967079147356         57.8625898854166          62.14330106484769         
60                        57.19573922253183         56.43618966290374         56.90394843305984         58.64566208485885         62.73515300296661         
61                        58.16391240220192         57.3836461940764          57.78997917611117         59.4321582726103          63.33225986192411         
62                        59.13209217219028         58.33154426604022         58.67767146286705         60.22191981128518         63.93443416734274         
63                        60.10027876094108         59.27985960145781         59.56693864637312         61.01479494099036         64.54149299707188         
64                        61.06847240148281         60.2285693415043          60.457698638943           61.81063839276665         65.15325787881834         
65                        62.03667333117642         61.17765193325192         61.349873587548           62.60931102182266         65.76955468228296         
66                        63.00488179146372         62.12708702692976         62.24338957377873         63.41067945965344         66.39021350668888         
67                        63.97309802761503         63.07685538203464         63.13817633623719         64.21461578413188         67.01506856450354         
68                        64.94132228847577         64.02693878138584         64.03416701341253         65.02099720666874         67.64395806207857         
69                        65.90955482621158         64.97731995231847         64.9312979052695          65.82970577555022         68.27672407785776         
70                        66.87779589605159         65.92798249429845         65.82950825193855         66.64062809458099         68.91321243873465         
71                        67.84604575602961         66.87891081232155         66.7287400280393          67.45365505618398         69.55327259507688         
72                        68.81430466672286         67.83009005552621         67.62893775129983         68.26868158813389         70.19675749487527         
73                        69.78257289098838         68.78150606051068         68.53004830425154         69.08560641313059         70.84352345742001         
74                        70.75085069369678         69.73314529889805         69.43202076788519         69.9043318204468          71.49343004685589         
75                        71.71913834146331         70.68499482873929         70.33480626625017         70.72476344891601         72.14633994592164         
