I                         i_b00                     i_b10                     i_b20                     i_b30                     i_b45                     
1                         0                         0                         0                         0                         0                         
1                         0                         0                         0                         0                         0                         
2                         1.088083991713003         9.924820070704216         19.90040594586003         30.14719575038759         44.88586853682374         
3                         2.051215529219047         9.944876758393908         19.84671692313005         30.07113058980156         44.78842293843783         
4                         3.024238269646601         10.05957712325448         19.8392589792212          30.02380532971362         44.70767144911709         
5                         3.999940288956544         10.26574896404372         19.87808420962391         30.00535701204144         44.64370883922634         
6                         4.97674597633913          10.55803450034461         19.96292218747569         30.01583929400581         44.59661065371508         
7                         5.954112156716308         10.92952644675352         20.0931892686391          30.05522167737061         44.56643279126794         
8                         6.931801749703796         11.37246450073356         20.26800826752892         30.12338994716991         44.55321119028584         
9                         7.909694837252583         11.87885805276748         20.48623699061143         30.22014780525633         44.55696162585458         
10                        8.887724266367892         12.44095967864225         20.7465035414623          30.34521964447443         44.57767962040953         
11                        9.86584951338947          13.05157236543366         21.04724600126749         30.49825437294132         44.61534046929395         
12                        10.84404468127428         13.70421174005207         21.38675405119665         30.67883016683284         44.66989938086958         
13                        11.82229245187634         14.39316045422101         21.76321030304111         30.88646000580051         44.74129172930375         
14                        12.80058080995118         15.11345219488035         22.17472947654047         31.12059782865648         44.82943341667265         
15                        13.7789011621971          15.86081566165424         22.61939402852542         31.38064513862053         44.93422133961164         
16                        14.75724720428163         16.63159996884974         23.09528532733169         31.66595788696928         45.05553395444928         
17                        15.73561421045405         17.42269513186702         23.60050991835642         31.9758534705987          45.19323193360655         
18                        16.71399857265246         18.23145548751972         24.1332208059782          32.30961769164662         45.34715890505022         
19                        17.69239749255544         19.05562999723524         24.6916339660719          32.66651154452064         45.51714226577794         
20                        18.67080877048876         19.89330096838454         25.27404050079383         33.04577771594427         45.7029940596916          
21                        19.64923065743507         20.74283134785572         25.8788149627464          33.44664670551255         45.90451190979155         
22                        20.62766174919692         21.6028200247912          26.50442042435561         33.86834249642556         46.12147999439622         
23                        21.60610090935134         22.47206426340538         27.14941086731368         34.31008772744108         46.35367005705165         
24                        22.5845472122644          23.34952829892981         27.8124314322606          34.77110833681268         46.60084243993465         
25                        23.5629999003339          24.23431716224            28.49221701403678         35.25063766646162         46.86274713085434         
26                        24.5414583514881          25.12565488765112         29.18758962333029         35.74792002953031         47.13912481440075         
27                        25.51992205418577         26.02286636753279         29.89745486891018         36.26221375664318         47.42970791835705         
28                        26.49839058797782         26.92536222749468         30.62079785085131         36.79279374569951         47.73422164715922         
29                        27.47686360824197         27.83262619754636         31.3566786971606          37.33895354700459         48.05238499493109         
30                        28.45534083408397         28.74420454403769         32.10422792544427         37.90000702026742         48.38391173142264         
31                        29.43382203866757         29.65969720354205         32.8626417681154          38.47528960275265         48.72851135501055         
32                        30.41230704142329         30.57875032385824         33.63117756387418         39.06415922899911         49.08589000776585         
33                        31.39079570172543         31.50104997033231         34.40914928915987         39.66599694232287         49.45575134843192         
34                        32.36928791372386         32.42631679928453         35.19592328015535         40.28020723710943         49.83779737997545         
35                        33.34778360209241         33.35430153598323         35.99091417784818         40.9062181689382          50.23172922915598         
36                        34.32628271850877         34.284781123694           36.7935811147735          41.5434812671028          50.63724787629869         
37                        35.30478523872233         35.21755543403309         37.60342415161319         42.19147128129217         51.0540548341397          
38                        36.28329116009745         36.15244444816294         38.41998096412866         42.84968579123564         51.48185277523785         
39                        37.26180049954288         37.08928583410467         39.24282377538461         43.51764470511702         51.92034610800953         
40                        38.24031329175655         38.02793285828965         40.07155652439975         44.19488966962179         52.36924150193806         
41                        39.21882958772937         38.968252579972           40.90581225984571         44.88098341166598         52.82824836294129         
42                        40.19734945346158         39.91012428572697         41.74525074589047         45.57550902921275         53.29707926024682         
43                        41.17587296885561         40.85343812832106         42.58955626649682         46.27806924614152         53.77545030642955         
44                        42.15440022675458         41.79809394005252         43.43843561424143         46.98828564390985         54.26308149251341         
45                        43.13293133210208         42.74400019545497         44.29161624986346         47.70579788074531         54.75969698023071         
46                        44.11146640120297         43.69107310222363         45.14884461916289         48.43026290731936         55.26502535367634         
47                        45.09000556106831         44.6392358025129          46.00988461446132         49.16135418627934         55.77879983269157         
48                        46.06854894883068         45.58841766949101         46.87451616854            49.89876092163547         56.30075845037016         
49                        47.04709671121804         46.53855368631779         47.74253396973642         50.6421873028015          56.83064419710313         
50                        48.0256490040767          47.4895838966206          48.61374628766942         51.3913517670567          57.36820513357051         
51                        49.00420599193512         48.44145291714229         49.48797389985337         52.14598628331311         57.91319447505632         
52                        49.98276784760181         49.3941095045803          50.36504911023084         52.90583565932391         58.46537064940762         
53                        50.96133475179129         50.34750616976929         51.24481485139255         53.67065687383664         59.02449733088808         
54                        51.93990689277366         51.30159883331794         52.12712386295192         54.44021843466793         59.5903434520888          
55                        52.91848446604324         52.25634651762129         53.01183793919826         55.21429976323838         60.16268319596458         
56                        53.89706767400276         53.21171107086062         53.89882723976176         55.99269060574783         60.74129596995802         
57                        54.87565672566062         54.16765691918854         54.78796965758789         56.77519047087862         61.32596636406517         
58                        55.85425183633772         55.12415084379896         55.67915023903832         57.5616080936805          61.91648409458352         
59                        56.83285322738271         56.08116178000924         56.57226065141028         58.35176092510524         62.5126439351689          
60                        57.81146112589298         57.03866063585022         57.46719869360129         59.14547464651563         63.11424563671461         
61                        58.79007576444025         57.99662012797494         58.36386784604228         59.94258270838359         63.72109383745391         
62                        59.76869738079933         58.95501463296918         59.26217685638142         60.74292589231277         64.33299796457729         
63                        60.74732621767872         59.91382005238194         60.16203935772823         61.54635189546538         64.94977212855076         
64                        61.72596252245228         60.87301368999653         61.06337351656329         62.35271493643629         65.57123501121882         
65                        62.70460654689106         61.8325741400394          61.96610170768702         63.1618753815986          66.19720974867883         
66                        63.6832585468946          62.79248118517626         62.87015021382389         63.97369939093842         66.82752380982178         
67                        64.66191878222105         63.75271570327869         63.77544894771678         64.78805858239997         67.46200887134633         
68                        65.64058751621583         64.71325958205912         64.68193119474518         65.6048297137761          68.10050068997189         
69                        66.61926501553823         65.67409564077467         65.58953337427945         66.42389438119685         68.74283897249977         
70                        67.59795154988578         66.63520755828758         66.49819481814482         67.24513873329363         69.38886724429933         
71                        68.57664739171609         67.59657980684833         67.40785756471467         68.06845320014405         70.03843271673092         
72                        69.55535281596597         68.55819759103514         68.31846616728474         68.89373223613227         70.69138615395471         
73                        70.53406809976774         69.52004679134346         69.22996751549776         69.7208740758924          71.34758173951919         
74                        71.51279352216261         70.48211391197157         70.14231066869654         70.54978050253439         72.00687694306964         
75                        72.49152936381125         71.44438603239476         71.05544670017916         71.38035662738611         72.6691323874708          
