I                         i_b00                     i_b10                     i_b20                     i_b30                     i_b45                     
1                         0                         0                         0                         0                         0                         
1                         0                         0                         0                         0                         0                         
2                         1.10889976688305          9.924236466391521         19.89873631865865         30.14522630202231         44.8835554009201          
3                         2.093749583229678         9.947934417189014         19.84542006914395         30.06846087971261         44.78453395876628         
4                         3.088321196597005         10.07036840518657         19.84039117153135         30.02171637718578         44.70295088613908         
5                         4.085520749530399         10.28801363179708         19.88368629665152         30.00513418325292         44.63890620147646         
6                         5.083802021574228         10.59500359027412         19.97499077349909         30.01876466421674         44.59247892387365         
7                         6.082632429762185         10.983848700229           20.11364987850429         30.06256640827977         44.56372661307208         
8                         7.081779624171846         11.44620878442834         20.29869180770813         30.13640684728114         44.55268503157765         
9                         8.08112611412681          11.97356935681921         20.52886049627232         30.24006423407366         44.55936793358199         
10                        9.080606119997135         12.55774271662784         20.80265580106778         30.37323090716954         44.58376698362917         
11                        10.08017995380065         13.1911816890533          21.11837823666754         30.53551773180901         44.62585180616776         
12                        11.0798222566192          13.86713511885505         21.47417545693752         30.72645957080426         44.68557016529414         
13                        12.07951607300549         14.57968928594361         21.8680879531761          30.94552161121723         44.76284827217898         
14                        13.07924964162291         15.32373747860767         22.29809191040737         31.19210635522727         44.8575912159158          
15                        14.07901455277224         16.09491066222932         22.76213772982126         31.46556107572073         44.96968351188384         
16                        15.07880463871522         16.8894917643733          23.2581833002931          31.76518553872739         45.09898976021518         
17                        16.07861527796008         17.70432741432439         23.78422161984943         32.09023980475545         45.24535540563097         
18                        17.0784429439273          18.53674474453019         24.33830278945721         32.43995193780338         45.40860758879158         
19                        18.07828490341388         19.38447681629495         24.91855071132829         32.8135254725663          45.58855607840834         
20                        19.07813900991371         20.24559781323689         25.52317502521445         33.21014651524825         45.78499427270341         
21                        20.07800355873472         21.11846781772769         26.15047892367536         33.62899037968249         45.99770025838183         
22                        21.07787718339445         22.00168633654149         26.7988635211759          34.06922768659992         46.22643791509277         
23                        22.07775878020798         22.89405349024989         27.46682943302874         34.53002987862363         46.47095805339612         
24                        23.07764745251722         23.79453774656277         28.15297616743418         35.01057412597416         46.73099957449743         
25                        24.0775424688504          24.70224915207496         28.85599986244365         35.51004761734681         47.00629064044938         
26                        25.07744323112232         25.61641713714643         29.57468982098532         36.02765124665822         47.2965498441178          
27                        26.07734925017779         26.53637210076339         30.30792421896739         36.56260271929177         47.60148736894401         
28                        27.07726012677873         27.46153010889563         31.05466528880848         37.11413911123208         47.92080612937919         
29                        28.0771755366755          28.3913801533539          31.81395421617863         37.68151892133032         48.25420288378852         
30                        29.07709521877709         29.32547351595752         32.58490593232082         38.26402366123885         48.60136931259811         
31                        30.07701896569701         30.26341486512662         33.36670393807561         38.86095902968572         48.96199305545732         
32                        31.07694661613764         31.20485478022272         34.15859525802555         39.47165571812924         49.33575870219369         
33                        32.07687804870975         32.14948345494684         34.95988559306974         40.09546989382356         49.72234873332109         
34                        33.0768131768812          33.09702537677428         35.76993471615715         40.73178340428667         50.12144440681133         
35                        34.07675194482116         34.04723481653006         36.58815213778455         41.38000374440009         50.53272658873678         
36                        35.07669432395878         34.99989199233065         37.4139930542083          42.0395638241425          50.95587652622767         
37                        36.07664031011561         35.95479979654673         38.24695458125267         42.70992157148063         51.39057656195241         
38                        37.07658992110181         36.91178099426072         39.08657226936765         43.39055940137575         51.8365107900188          
39                        38.07654319468844         37.87067581779034         39.93241689057068         44.08098357834089         52.29336565380399         
40                        39.07650018688691         38.8313398949463          40.78409148458368         44.78072349659693         52.76083048675144         
41                        40.07646097047986         39.79364245936662         41.64122864943806         45.48933089868511         53.23859799762524         
42                        41.07642563375879         40.75746479999349         42.50348806073476         46.20637905044402         53.72636470208884         
43                        42.07639427943207         41.72269891390254         43.37055420335907         46.93146188756969         54.22383130277916         
44                        43.0763670236741          42.68924633256037         44.24213429956057         47.66419314655639         54.73070302028639         
45                        44.07634399529142         43.65701709641929         45.11795641776357         48.40420549066172         55.24668987762566         
46                        45.07632533498563         44.62592885674562         45.99776774715764         49.15114963963927         55.77150694090915         
47                        46.07631119469695         45.59590608688322         46.88133302394627         49.90469351032477         56.30487451899968         
48                        47.07630173701499         46.56687938789616         47.76843309603711         50.66452137372342         56.84651832495689         
49                        48.07629713464491         47.53878487581996         48.65886361389631         51.43033303301315         57.3961696020792          
50                        49.07629756991989         48.51156363965862         49.55243383622842         52.20184302582545         57.95356521730688         
51                        50.07630323435193         49.48516126086261         50.44896554005793         52.97877985327533         58.51844772468589         
52                        51.07631432821396         50.45952738636501         51.34829202566583         53.76088523746547         59.0905654015069          
53                        52.07633106014828         51.43461534838314         52.25025720766389         54.54791340856688         59.66967225963067         
54                        53.07635364679568         52.41038182514654         53.1547147842647          55.33963042206617         60.25552803439582         
55                        54.07638231244211         53.38678653752055         54.06152747752632         56.13581350634966         60.84789815338007         
56                        55.07641728867878         54.36379197717946         54.97056633801463         56.93625044045619         61.44655368715524         
57                        56.07645881407324         55.34136316256648         55.88171010793673         57.74073896156026         62.05127128404234         
58                        57.07650713384862         56.3194674193757          56.79484463735619         58.54908620153515         62.66183309073657         
59                        58.07656249956915         57.29807418271542         57.70986234860942         59.36110815178228         63.27802666053859         
60                        59.07662516883025         58.27715481847743         58.62666174450364         60.17662915539135         63.89964485079414         
61                        60.07669540495134         59.25668246174943         59.54514695629679         60.99548142560725         64.52648571101632         
62                        61.07677347667038         60.23663187037722         60.46522732783814         61.81750458951932         65.15835236303872         
63                        62.07685965783904         61.2169792920151          61.38681703259115         62.6425452558527          65.79505287442927         
64                        63.0769542271174          62.19770234320536         62.30983472057108         63.4704566057212          66.43640012627952         
65                        64.07705746766767         63.17877989919932         63.23420319250713         64.30109800519962         67.08221167637711         
66                        65.07716966684616         64.16019199338592         64.1598490987934          65.13433463858087         67.73230961866757         
67                        66.07729111589293         65.14191972532304         65.08670266101801         65.97003716120122         68.38652043981546         
68                        67.07742210961889         66.12394517648242         66.01469741406586         66.8080813707428          69.04467487358781         
69                        68.07756294609001         67.10625133291852         66.94376996697422         67.6483478959518          69.70660775369882         
70                        69.07771392630816         68.08882201415828         67.87385978088666         68.49072190174627         70.37215786567896         
71                        70.0778753538888          69.07164180768631         68.80490896260046         69.33509280972328         71.04116779826127         
72                        71.07804753473488         70.05469600846557         69.73686207233726         70.18135403311483         71.713483794713           
73                        72.07823077670767         71.03797056299383         70.66966594448816         71.02940272528029         72.38895560448069         
74                        73.07842538929364         72.02145201744649         71.60326952019354         71.87913954086368         73.06743633546333         
75                        74.07863168326801         73.00512746950305         72.53762369071639         72.73046840878239         73.74878230717837         
